Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,107300,2,-700,-0.65,109200,110500,107300,22862648,2475876354450,639320895576000,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,565000,2,-22000,-3.75,583000,589000,565000,3910539,2246580571500,414961348050000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,446000,1,4500,1.02,446000,446000,433000,709604,314778733750,103428000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1669000,1,4000,0.24,1666000,1693000,1661000,55438,92845420000,77537342925000,46290951,STK
005935,KR7005931001,삼성전자우,KOSPI,,81400,1,400,0.49,81600,82800,81000,1876748,153529097950,66420337649600,815974664,STK
005380,KR7005380001,현대차,KOSPI,,295500,2,-7000,-2.31,304000,306500,295500,1465502,437916256500,60710677619000,204757766,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,77300,1,500,0.65,78000,79200,77100,4645224,362057688450,49579432700400,640561146,STK
329180,KR7329180004,HD현대중공업,KOSPI,,559000,2,-12000,-2.1,576000,577000,545000,561306,312469571500,49180306264000,88773116,STK
000270,KR7000270009,기아,KOSPI,,122900,2,-500,-0.41,124600,126400,122500,1030157,127424409150,48137922653400,390412998,STK
105560,KR7105560007,KB금융,KOSPI,,124800,1,300,0.24,125400,126900,124800,979243,122738463900,47682762875000,381462103,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,904000,2,-19000,-2.06,932000,935000,900000,241360,219154403500,46922694910000,51563401,STK
068270,KR7068270008,셀트리온,KOSPI,,186700,1,1000,0.54,187300,192100,185700,940315,176479306600,43212797299900,230960969,STK
028260,KR7028260008,삼성물산,KOSPI,,252000,1,4500,1.82,255000,258000,248500,370879,93653801750,42834089088000,169976544,STK
402340,KR7402340004,SK스퀘어,KOSPI,,307500,2,-16500,-5.09,324000,324000,307500,317943,99060628000,41153936409000,132540858,STK
035420,KR7035420009,NAVER,KOSPI,,243500,2,-1000,-0.41,245500,246000,241000,1054714,256583844066,37879912077000,156852638,STK
055550,KR7055550008,신한지주,KOSPI,,77100,2,-200,-0.26,78000,78400,77100,1439532,111351202750,37625857385000,485494934,STK
042660,KR7042660001,한화오션,KOSPI,,113100,1,600,0.53,113600,113800,111000,1238224,139211621850,34318300128000,306413394,STK
012330,KR7012330007,현대모비스,KOSPI,,360500,2,-1500,-0.41,370000,374500,360000,378606,137747819000,32890561337500,90732583,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,445500,1,3500,0.79,448500,452500,441000,220681,98389219500,31564809736000,70773116,STK
015760,KR7015760002,한국전력,KOSPI,,48800,2,-1000,-2.01,49900,50200,48800,4507538,221779364775,31552534384550,641964077,STK
032830,KR7032830002,삼성생명,KOSPI,,153100,2,-1300,-0.84,156600,156600,153100,385859,59283697650,30800000000000,200000000,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,846000,2,-3000,-0.35,868000,882000,846000,165857,142490482500,30676111885000,36047135,STK
010130,KR7010130003,고려아연,KOSPI,,1536000,1,56000,3.78,1502000,1553000,1476000,50872,77741704500,29691908705000,19343263,STK
051910,KR7051910008,LG화학,KOSPI,,365500,2,-10500,-2.79,379500,380500,365500,278617,102836554250,26048574567000,70592343,STK
035720,KR7035720002,카카오,KOSPI,,59200,3,0,0.0,59500,59700,58500,2500976,147688838200,26012188490400,442384158,STK
086790,KR7086790003,하나금융지주,KOSPI,,91600,3,0,0.0,92600,93300,91500,905692,83341355000,25578142306600,278325814,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,308000,2,-6500,-2.07,316500,317500,308000,343074,106389839250,25170148072000,80932952,STK
006400,KR7006400006,삼성SDI,KOSPI,,308000,2,-9500,-2.99,321000,321500,308000,458984,143030681750,24981514300000,80585530,STK
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,453500,2,-3000,-0.66,460000,461500,449500,499579,226941447000,24131110388000,53505788,KSQ
010140,KR7010140002,삼성중공업,KOSPI,,25800,2,-450,-1.71,26600,26650,25750,3501831,91012359725,22792000000000,880000000,STK
000810,KR7000810002,삼성화재,KOSPI,,630000,1,139000,28.31,495500,630000,483500,187751,107800652250,22269399020000,46011155,STK
316140,KR7316140003,우리금융지주,KOSPI,,27500,2,-50,-0.18,28050,28150,27500,2841567,78487531375,20370617880000,734076320,STK
009150,KR7009150004,삼성전기,KOSPI,,269500,1,1000,0.37,272000,282500,269500,814691,223704436000,20204644768000,74693696,STK
064350,KR7064350002,현대로템,KOSPI,,179200,2,-7800,-4.17,187400,191000,179200,762743,139907734600,19754755033000,109142293,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,222000,1,1500,0.68,225000,225000,215500,501074,110583311500,19568168400000,88946220,STK
011200,KR7011200003,HMM,KOSPI,,20400,1,250,1.24,20250,20650,20100,1602934,32713037200,19242054588000,943237970,STK
096770,KR7096770003,SK이노베이션,KOSPI,,112300,2,-4300,-3.69,117700,117700,112300,582960,66039404750,19170586159200,169052788,STK
034730,KR7034730002,SK,KOSPI,,261500,2,-3500,-1.32,269500,272000,261500,208473,55154674500,19068210889000,72502703,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,108500,2,-600,-0.55,109500,110600,108500,281829,30729808900,19064128902400,175221773,STK
298040,KR7298040007,효성중공업,KOSPI,,1978000,1,33000,1.7,1988000,2080000,1965000,97948,197671833500,18406657752000,9324548,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,173800,2,-5700,-3.18,181500,181900,172500,848007,148184463900,16929412646400,97801344,KSQ
024110,KR7024110009,기업은행,KOSPI,,20650,2,-50,-0.24,20900,21000,20650,1808147,37462469525,16586458075200,797425869,STK
033780,KR7033780008,KT&G,KOSPI,,141600,2,-100,-0.07,142200,142300,139100,520200,73108211700,16552123293500,117976645,STK
267250,KR7267250009,HD현대,KOSPI,,203000,2,-4000,-1.93,209000,210500,203000,155426,31752429250,16154085882500,78993085,STK
066570,KR7066570003,LG전자,KOSPI,,94700,1,200,0.21,95900,96800,94700,785334,74896184800,15523072681100,162886387,STK
086520,KR7086520004,에코프로,KOSDAQ GLOBAL,중견기업부,112800,2,-4000,-3.42,117500,118200,112500,3927391,449222571450,15397015636800,135776152,KSQ
010120,KR7010120004,LS ELECTRIC,KOSPI,,497000,2,-4000,-0.8,511000,522000,497000,181252,91731256000,15060000000000,30000000,STK
0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,569000,1,4000,0.71,572000,606000,563000,1264255,739305914500,14208220979000,24883049,STK
000150,KR7000150003,두산,KOSPI,,848000,2,-36000,-4.07,888000,888000,848000,119173,102694344500,13845728925000,16193835,STK
086280,KR7086280005,현대글로비스,KOSPI,,182600,1,1800,1.0,182100,183000,177700,316114,57177820250,13567500000000,75000000,STK
018260,KR7018260000,삼성에스디에스,KOSPI,,174400,1,900,0.52,174900,176200,173300,151322,26427879500,13510163880000,77377800,STK
030200,KR7030200000,KT,KOSPI,,51300,2,-500,-0.97,52200,53100,51300,815584,42369947616,13357149305000,252021685,STK
003550,KR7003550001,LG,KOSPI,,81700,2,-800,-0.97,83300,83300,81600,329912,27073745600,12630747811500,154221585,STK
