symbol,name,sector
005930,삼성전자,Tech
000660,SK하이닉스,Tech
373220,LG에너지솔루션,Battery
207940,삼성바이오로직스,Bio
005380,현대차,Auto
000270,기아,Auto
068270,셀트리온,Bio
105560,KB금융,Finance
005490,POSCO홀딩스,Steel
035420,NAVER,Tech
006400,삼성SDI,Battery
051910,LG화학,Chemical
003550,LG,Holding
000810,삼성화재,Finance
055550,신한지주,Finance
015760,한국전력,Utility
032830,삼성생명,Finance
086790,하나금융지주,Finance
009150,삼성전기,Tech
017670,SK텔레콤,Telecom
018260,삼성에스디에스,Tech
012330,현대모비스,Auto
034730,SK,Holding
034020,두산에너빌리티,Energy
010130,고려아연,Metal
011200,HMM,Transport
003490,대한항공,Transport
010950,S-Oil,Energy
009540,HD한국조선해양,Ship
033780,KT&G,Consumer
000100,유한양행,Bio
030200,KT,Telecom
042660,한화오션,Ship
005830,DB손해보험,Finance
024110,기업은행,Finance
036570,엔씨소프트,Game
251270,넷마블,Game
009830,한화솔루션,Energy
011070,LG이노텍,Tech
001450,현대해상,Finance
000120,CJ대한통운,Transport
090430,아모레퍼시픽,Consumer
011170,롯데케미칼,Chemical
004020,현대제철,Steel
000720,현대건설,Construction
028260,삼성물산,Holding
003670,포스코퓨처엠,Battery
035720,카카오,Tech
066570,LG전자,Tech
001570,금양,Chemical
086280,현대글로비스,Transport
002790,아모레G,Consumer
028050,삼성엔지니어링,Construction
004990,롯데지주,Holding
000080,하이트진로,Consumer
004370,농심,Consumer
007310,오뚜기,Consumer
001680,대상,Consumer
005300,롯데칠성,Consumer
271560,오리온,Consumer
001040,CJ,Holding
000990,DB하이텍,Tech
000210,DL,Construction
001440,대한전선,Ind
006260,LS,Holding
004800,효성,Chemical
003240,태광산업,Chemical
002380,KCC,Construction
010140,삼성중공업,Ship
001230,동국제강,Steel
001740,SK네트웍스,Trade
000150,두산,Holding
000670,영풍,Metal
001120,LX인터내셔널,Trade
000240,한국타이어앤테크놀로지,Auto
003520,영진약품,Bio
000020,동화약품,Bio
000040,KR모터스,Auto
000050,경방,Textile
000070,삼양홀딩스,Holding
000140,하이트진로홀딩스,Holding
000180,성창기업지주,Wood
000220,유유제약,Bio
000230,일동홀딩스,Bio
000300,대유플러스,Auto
000320,노루홀딩스,Holding
000390,삼화페인트,Chemical
000400,롯데손해보험,Finance
000430,대원강업,Auto
000480,조선내화,Ind
000490,대동,Machine
000500,가온전선,Ind
000520,삼일제약,Bio
000540,흥국화재,Finance
000590,CS홀딩스,Holding
000640,동아쏘시오홀딩스,Bio
000650,천일고속,Transport
000680,LS네트웍스,Retail
000700,유수홀딩스,Transport
000760,이화산업,Textile
