cooldown,window,return,mdd,trades
240,120,0.10802640583766121,-0.054163117318761445,30
360,120,0.10673112880989466,-0.05122293309057446,28
120,120,0.09841415508598139,-0.06386496168761391,30
60,120,0.08501946225697266,-0.06386496168761335,32
360,60,0.05971252166910168,-0.05784887409930861,22
60,60,0.042269296898423736,-0.05784887409930828,26
120,60,0.042269296898423736,-0.05784887409930828,26
240,60,0.042269296898423736,-0.05784887409930828,26
60,120,0.03285176467045181,-0.034514241401403245,14
360,120,0.03285176467045181,-0.034514241401403245,14
240,120,0.03285176467045181,-0.034514241401403245,14
120,120,0.03285176467045181,-0.034514241401403245,14
360,60,0.013684391119103356,-0.026806831993174796,6
240,60,0.013684391119103356,-0.026806831993174796,6
60,60,0.013684391119103356,-0.026806831993174796,6
120,60,0.013684391119103356,-0.026806831993174796,6
360,120,0.0014979992880514992,-0.009371678606854172,2
60,120,0.0014979992880514992,-0.009371678606854172,2
120,120,0.0014979992880514992,-0.009371678606854172,2
240,120,0.0014979992880514992,-0.009371678606854172,2
60,60,0.0,0.0,0
120,60,0.0,0.0,0
240,60,0.0,0.0,0
360,60,0.0,0.0,0
