date,equity,regime
2024-12-02,100000000.0,BASE
2024-12-03,100000000.0,BASE
2024-12-04,100000000.0,BASE
2024-12-05,100000000.0,BASE
2024-12-06,100000000.0,BASE
2024-12-09,100000000.0,BASE
2024-12-10,100000000.0,BASE
2024-12-11,100000000.0,BASE
2024-12-12,100000000.0,BASE
2024-12-13,100000000.0,BASE
2024-12-16,100000000.0,BASE
2024-12-17,100000000.0,BASE
2024-12-18,100000000.0,BASE
2024-12-19,100000000.0,BASE
2024-12-20,100000000.0,BASE
2024-12-23,100000000.0,BASE
2024-12-24,100000000.0,BASE
2024-12-26,100000000.0,BASE
2024-12-27,100000000.0,BASE
2024-12-30,100000000.0,BASE
2025-01-02,100000000.0,BASE
2025-01-03,100000000.0,BASE
2025-01-06,100000000.0,BASE
2025-01-07,100000000.0,BASE
2025-01-08,100000000.0,BASE
2025-01-09,100000000.0,BASE
2025-01-10,100000000.0,BASE
2025-01-13,100000000.0,BASE
2025-01-14,100000000.0,BASE
2025-01-15,100000000.0,BASE
2025-01-16,100000000.0,BASE
2025-01-17,100000000.0,BASE
2025-01-20,100000000.0,BASE
2025-01-21,100000000.0,BASE
2025-01-22,100000000.0,BASE
2025-01-23,100000000.0,BASE
2025-01-24,100000000.0,TURBO(Vol:1.4)
2025-01-31,100000000.0,TURBO(Vol:1.4)
2025-02-03,100000000.0,BASE
2025-02-04,100000000.0,BASE
2025-02-05,100000000.0,TURBO(Vol:1.1)
2025-02-06,100000000.0,TURBO(Vol:1.2)
2025-02-07,100000000.0,TURBO(Vol:1.3)
2025-02-10,100000000.0,TURBO(Vol:1.3)
2025-02-11,100000000.0,TURBO(Vol:1.3)
2025-02-12,100000000.0,TURBO(Vol:1.3)
2025-02-13,100000000.0,TURBO(Vol:1.2)
2025-02-14,100000000.0,TURBO(Vol:1.3)
2025-02-17,100000000.0,TURBO(Vol:1.3)
2025-02-18,100000000.0,TURBO(Vol:1.3)
2025-02-19,100000000.0,TURBO(Vol:1.2)
2025-02-20,100000000.0,TURBO(Vol:1.2)
2025-02-21,100000000.0,TURBO(Vol:1.2)
2025-02-24,100000000.0,TURBO(Vol:1.2)
2025-02-25,100000000.0,TURBO(Vol:1.2)
2025-02-26,100000000.0,TURBO(Vol:1.3)
2025-02-27,100000000.0,TURBO(Vol:1.3)
2025-02-28,100000000.0,BASE
2025-03-04,100000000.0,BASE
2025-03-05,100000000.0,BASE
2025-03-06,100000000.0,BASE
2025-03-07,100767441.86046511,BASE
2025-03-10,100575596.15384614,BASE
2025-03-11,101151144.36305024,BASE
2025-03-12,103836881.64441398,BASE
2025-03-13,103645093.37421253,BASE
2025-03-14,103261509.6641547,BASE
2025-03-17,103069710.61243328,TURBO(Vol:1.1)
2025-03-18,101474877.02461092,TURBO(Vol:1.1)
2025-03-19,101474877.02461092,TURBO(Vol:1.1)
2025-03-20,102667729.14587383,TURBO(Vol:1.2)
2025-03-21,104732060.98202303,TURBO(Vol:1.2)
2025-03-24,104313269.23689882,TURBO(Vol:1.2)
